Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total shots,Total shots(on target),Outside penalty area shots,Outside penalty area shots(on target),Positional attacks,Positional attacks w/ shots,Counterattacks,Counterattacks w/ shots,Set pieces,Set pieces w/ shots,Free kicks,Free kicks w/ shots,Penalties,Penalties(converted),Crosses,Crosses(accurate),Penalty area entries (runs),Penalty area entries (crosses),Touches in penalty area,Offensive duels,Offensive duels won,Offsides
2022-11-04,USC Trojans - UCLA Bruins 2:0,United States. NCAA D1 Pacific 12 (W),99,UCLA Bruins,4-2-3-1 (52.85%),0,0.75,11,4,8,2,39,10,0,0,16,1,1,0,0,0,3,0,12,4,9,93,31,0
2022-11-04,USC Trojans - UCLA Bruins 2:0,United States. NCAA D1 Pacific 12 (W),99,USC Trojans,4-2-3-1 (100.0%),2,2.85,13,9,3,1,31,6,1,1,29,4,2,0,1,1,12,3,18,4,22,117,56,1
2022-10-30,UCLA Bruins - Washington Huskies 3:0,United States. NCAA D1 Pacific 12 (W),104,UCLA Bruins,4-2-3-1 (100.0%),3,1.78,19,6,11,3,44,15,0,0,25,4,2,1,0,0,15,7,35,8,24,104,40,1
2022-10-30,UCLA Bruins - Washington Huskies 3:0,United States. NCAA D1 Pacific 12 (W),104,Washington Huskies,4-4-2 (100.0%),0,0.23,4,0,2,0,24,2,0,0,27,2,6,0,0,0,6,3,11,1,7,52,15,1
2022-10-28,UCLA Bruins - Washington State Cougars 1:0,United States. NCAA D1 Pacific 12 (W),97,UCLA Bruins,4-2-3-1 (94.68%),1,2.93,31,10,18,3,61,23,3,1,25,7,1,0,0,0,31,11,46,14,38,99,45,2
2022-10-28,UCLA Bruins - Washington State Cougars 1:0,United States. NCAA D1 Pacific 12 (W),97,Washington State Cougars,4-1-4-1 (100.0%),0,1.02,7,4,3,1,22,5,0,0,24,2,2,0,0,0,12,4,21,2,8,80,29,1
2022-10-23,Utah Utes - UCLA Bruins 0:3,United States. NCAA D1 Pacific 12 (W),97,UCLA Bruins,4-1-4-1 (51.82%),3,2.44,14,5,4,1,41,10,1,1,21,3,2,1,0,0,23,8,32,9,28,101,39,3
2022-10-23,Utah Utes - UCLA Bruins 0:3,United States. NCAA D1 Pacific 12 (W),97,Utah Utes,3-4-1-2 (100.0%),0,0.67,9,3,6,2,30,6,2,1,31,2,1,0,0,0,9,3,15,3,7,84,25,1
2022-10-20,Colorado Buffs - UCLA Bruins 0:6,United States. NCAA D1 Pacific 12 (W),97,UCLA Bruins,4-3-3 (100.0%),6,2.86,21,11,10,5,42,15,0,0,15,6,1,1,0,0,12,5,33,2,22,74,40,3
2022-10-20,Colorado Buffs - UCLA Bruins 0:6,United States. NCAA D1 Pacific 12 (W),97,Colorado Buffs,4-2-3-1 (51.54%),0,0.65,7,1,3,0,33,6,0,0,30,1,5,1,0,0,12,4,18,1,8,57,26,0
2022-10-15,Stanford Cardinal - UCLA Bruins 1:0,United States. NCAA D1 Pacific 12 (W),95,UCLA Bruins,4-1-4-1 (100.0%),0,0.79,17,4,13,3,49,13,0,0,15,3,5,0,0,0,20,4,29,3,15,111,35,1
2022-10-15,Stanford Cardinal - UCLA Bruins 1:0,United States. NCAA D1 Pacific 12 (W),95,Stanford Cardinal,4-2-3-1 (100.0%),1,0.57,5,2,4,1,20,3,0,0,25,2,1,0,0,0,10,1,12,0,1,78,23,0
2022-10-09,UCLA Bruins - Arizona Wildcats 1:0,United States. NCAA D1 Pacific 12 (W),93,UCLA Bruins,3-4-1-2 (48.75%),1,0.47,10,5,6,3,37,7,0,0,29,3,3,1,0,0,14,2,23,3,12,94,40,1
2022-10-09,UCLA Bruins - Arizona Wildcats 1:0,United States. NCAA D1 Pacific 12 (W),93,Arizona Wildcats,4-1-3-2 (100.0%),0,0.73,9,3,5,2,28,7,0,0,25,1,5,1,0,0,11,5,19,1,6,73,26,2
2022-10-07,UCLA Bruins - ASU Sun Devils 4:0,United States. NCAA D1 Pacific 12 (W),89,UCLA Bruins,4-3-3 (28.4%),4,1.76,20,9,6,2,27,15,0,0,20,5,1,1,0,0,20,7,32,9,32,83,31,0
2022-10-07,UCLA Bruins - ASU Sun Devils 4:0,United States. NCAA D1 Pacific 12 (W),89,ASU Sun Devils,4-3-3 (88.3%),0,0.13,5,1,4,0,22,3,0,0,24,1,3,0,0,0,8,2,11,0,4,67,22,0
2022-10-02,Oregon State Beavers - UCLA Bruins 0:5,United States. NCAA D1 Pacific 12 (W),99,UCLA Bruins,3-5-2 (100.0%),5,2.92,20,11,7,3,34,11,0,0,19,8,3,2,0,0,13,3,26,11,28,99,46,2
2022-10-02,Oregon State Beavers - UCLA Bruins 0:5,United States. NCAA D1 Pacific 12 (W),99,Oregon State Beavers,3-4-2-1 (100.0%),0,0.92,5,3,4,2,23,3,0,0,25,0,3,0,1,0,13,2,15,0,1,65,20,1
2022-09-30,Oregon Ducks - UCLA Bruins 1:3,United States. NCAA D1 Pacific 12 (W),108,UCLA Bruins,4-3-3 (100.0%),3,2.16,25,7,17,3,54,19,2,2,19,2,5,1,0,0,13,1,33,12,23,87,43,1
2022-09-30,Oregon Ducks - UCLA Bruins 1:3,United States. NCAA D1 Pacific 12 (W),108,Oregon Ducks,4-3-3 (30.24%),1,0.32,1,1,0,0,14,0,1,1,25,1,4,0,0,0,2,1,6,0,4,69,20,0
2022-09-24,UCLA Bruins - Berkeley Golden Bears 4:2,United States. NCAA D1 Pacific 12 (W),99,UCLA Bruins,4-4-2 (48.58%),4,3.55,20,9,8,1,47,14,0,0,22,5,3,1,1,0,21,10,29,8,23,110,37,0
2022-09-24,UCLA Bruins - Berkeley Golden Bears 4:2,United States. NCAA D1 Pacific 12 (W),99,Berkeley Golden Bears,4-3-3 (100.0%),2,1.03,6,3,3,1,24,3,0,0,22,2,2,0,1,1,9,3,14,0,5,87,29,2
2022-09-18,Pepperdine Waves - UCLA Bruins 0:4,United States. NCAA D1 Non-conference matches (W),93,UCLA Bruins,5-3-2 (49.48%),4,1.49,17,11,6,4,47,13,0,0,19,3,2,0,0,0,16,5,32,2,20,86,23,1
2022-09-18,Pepperdine Waves - UCLA Bruins 0:4,United States. NCAA D1 Non-conference matches (W),93,Pepperdine Waves,4-3-1-2 (100.0%),0,0.64,8,4,3,1,20,3,0,0,21,5,3,2,0,0,8,5,16,1,8,60,18,2
2022-09-16,UCLA Bruins - San Diego State Aztecs 2:0,United States. NCAA D1 Non-conference matches (W),92,UCLA Bruins,4-3-3 (100.0%),2,3.97,32,9,8,3,76,27,1,0,18,4,3,1,0,0,28,12,55,15,44,125,48,1
2022-09-16,UCLA Bruins - San Diego State Aztecs 2:0,United States. NCAA D1 Non-conference matches (W),92,San Diego State Aztecs,4-3-3 (31.47%),0,0.12,2,1,2,1,9,2,1,0,30,0,0,0,0,0,8,2,11,0,3,42,12,2
2022-09-12,UCLA Bruins - Cal State Fullerton Titans 5:1,United States. NCAA D1 Non-conference matches (W),97,UCLA Bruins,5-3-2 (100.0%),5,3.75,26,14,8,5,50,19,0,0,26,7,2,1,0,0,18,7,42,19,42,110,48,1
2022-09-12,UCLA Bruins - Cal State Fullerton Titans 5:1,United States. NCAA D1 Non-conference matches (W),97,Cal State Fullerton Titans,4-4-2 (100.0%),1,0.34,9,2,8,2,22,8,0,0,19,0,1,0,0,0,8,2,11,1,2,65,18,2
2022-09-04,North Carolina Heels - UCLA Bruins 1:2,United States. NCAA D1 Non-conference matches (W),104,UCLA Bruins,5-3-2 (96.11%),2,0.5,8,4,4,1,20,8,1,0,28,0,0,0,0,0,4,3,11,5,8,84,27,1
2022-09-04,North Carolina Heels - UCLA Bruins 1:2,United States. NCAA D1 Non-conference matches (W),104,North Carolina Heels,4-3-3 (100.0%),1,1.69,16,6,7,2,59,7,1,0,19,8,4,1,0,0,32,9,39,7,28,84,40,3
2022-09-02,Duke Blue Devils - UCLA Bruins 1:2,United States. NCAA D1 Non-conference matches (W),97,UCLA Bruins,5-3-2 (100.0%),2,1.52,8,3,2,0,20,4,1,0,14,3,1,1,1,1,5,2,11,2,6,72,20,1
2022-09-02,Duke Blue Devils - UCLA Bruins 1:2,United States. NCAA D1 Non-conference matches (W),97,Duke Blue Devils,3-4-3 (76.14%),1,2.46,14,11,7,6,45,14,1,0,14,0,0,0,0,0,22,5,31,4,18,69,32,2
2022-08-28,Santa Clara Broncos - UCLA Bruins 0:1,United States. NCAA D1 Non-conference matches (W),94,UCLA Bruins,4-4-2 (100.0%),1,0.53,8,5,7,5,29,6,1,1,15,1,0,0,0,0,8,7,17,3,8,73,21,3
2022-08-28,Santa Clara Broncos - UCLA Bruins 0:1,United States. NCAA D1 Non-conference matches (W),94,Santa Clara Broncos,4-4-2 (100.0%),0,0.32,4,0,2,0,29,3,0,0,26,1,1,0,0,0,17,3,23,1,6,97,24,2
